id_compra,data,estado,cidade,vendedor,produto,sku,cor,quantidade,valor_total,lucro_total,forma_pagamento,cliente_nome,cpf,idade,comportamento
963,2026-02-26 13:46:04.167423,RS,Porto Alegre,Patrícia,Tenis Zallur Pro A10,A9-BRA,Branco,2,560,200,Cartão de Crédito,Fernanda Pereira,474.127.901-88,28,equilibrado
1485,2026-02-26 13:46:04.173425,PR,Curitiba,Juliana,Tenis Zallur Street A4,A3-BRA,Branco,2,360,124,Boleto,João Souza,811.506.112-90,29,equilibrado
2117,2026-02-26 13:46:04.183417,SP,São Paulo,Amanda,Tenis Zallur Flex A9,A8-AZU,Azul,1,210,80,Boleto,Fernanda Costa,556.925.690-60,42,conservador
2325,2026-02-26 13:46:04.185422,PE,Recife,Larissa,Tenis Zallur Comfort A6,A5-BRA,Branco,1,170,53,Pix,Carlos Souza,287.737.498-54,63,conservador
2516,2026-02-26 13:46:04.187423,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Performance A7,A6-PRE,Preto,1,300,120,Boleto,Lucas Pereira,990.134.254-59,26,equilibrado
327,2026-02-26 14:46:04.159418,PE,Recife,Larissa,Tenis Zallur Casual A1,A0-PRE,Preto,1,150,66,Pix,Fernanda Souza,144.679.123-42,45,conservador
463,2026-02-26 14:46:04.161419,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Elite A11,A10-VER,Vermelho,2,700,218,Boleto,Ana Silva,534.960.209-77,31,equilibrado
1692,2026-02-26 14:46:04.177426,RS,Porto Alegre,Patrícia,Tenis Zallur Flex A9,A8-AZU,Azul,1,210,80,Pix,Fernanda Oliveira,138.953.685-57,26,equilibrado
2144,2026-02-26 14:46:04.183417,RJ,Rio de Janeiro,Carlos,Tenis Zallur Lifestyle A8,A7-CIN,Cinza,1,190,91,Cartão de Crédito,Julia Oliveira,715.388.733-40,40,conservador
223,2026-02-26 15:46:04.156420,BA,Salvador,Camila,Tenis Zallur Ultra A13,A12-VER,Vermelho,2,800,352,Cartão de Crédito,Ana Costa,999.205.470-56,34,equilibrado
1541,2026-02-26 15:46:04.175408,RJ,Rio de Janeiro,Carlos,Tenis Zallur Casual A1,A0-VER,Vermelho,1,150,75,Boleto,Mariana Pereira,213.635.106-44,31,equilibrado
1704,2026-02-26 15:46:04.177426,PR,Curitiba,Juliana,Tenis Zallur Pro A10,A9-PRE,Preto,1,280,107,Pix,Julia Santos,166.981.349-52,56,conservador
640,2026-02-26 16:46:04.163421,PR,Curitiba,Juliana,Tenis Zallur Ultra A13,A12-BRA,Branco,1,400,151,Pix,João Costa,915.672.744-16,34,equilibrado
775,2026-02-26 16:46:04.165422,RS,Porto Alegre,Patrícia,Tenis Zallur Max A12,A11-CIN,Cinza,1,320,106,Pix,Fernanda Silva,420.493.258-45,48,conservador
1230,2026-02-26 16:46:04.170425,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Ultra A13,A12-CIN,Cinza,1,400,160,Boleto,João Oliveira,446.187.771-12,36,equilibrado
2955,2026-02-26 16:46:04.194423,SP,São Paulo,Amanda,Tenis Zallur Esportivo A2,A1-BRA,Branco,1,200,66,Pix,Pedro Pereira,688.349.207-40,42,conservador
666,2026-02-26 17:46:04.164424,RS,Porto Alegre,Patrícia,Tenis Zallur Casual A1,A0-PRE,Preto,1,150,66,Cartão de Crédito,Mariana Silva,752.764.824-49,36,equilibrado
1254,2026-02-26 17:46:04.170425,BA,Salvador,Camila,Tenis Zallur Zoom A15,A14-PRE,Preto,2,460,160,Pix,Carlos Pereira,453.901.341-42,35,equilibrado
1328,2026-02-26 17:46:04.171411,RJ,Rio de Janeiro,Carlos,Tenis Zallur Street A4,A3-VER,Vermelho,1,180,56,Cartão de Crédito,Mariana Silva,552.704.308-96,45,conservador
2045,2026-02-26 17:46:04.182411,SP,São Paulo,Thales,Tenis Zallur Comfort A6,A5-VER,Vermelho,1,170,62,Pix,Lucas Pereira,224.106.938-59,49,conservador
2763,2026-02-26 17:46:04.191416,RS,Porto Alegre,Patrícia,Tenis Zallur Esportivo A2,A1-CIN,Cinza,1,200,89,Cartão de Crédito,Carlos Silva,987.204.941-62,42,conservador
261,2026-02-26 18:46:04.156420,PE,Recife,Larissa,Tenis Zallur Ultra A13,A12-CIN,Cinza,1,400,160,Cartão de Crédito,Lucas Souza,660.437.871-55,45,conservador
940,2026-02-26 18:46:04.167423,RJ,Rio de Janeiro,Carlos,Tenis Zallur Pro A10,A9-CIN,Cinza,3,840,321,Cartão de Crédito,Lucas Santos,407.610.169-46,24,impulsivo
1036,2026-02-26 18:46:04.168419,SP,São Paulo,Thales,Tenis Zallur Ultra A13,A12-BRA,Branco,1,400,151,Pix,Carlos Pereira,624.875.835-92,29,equilibrado
1352,2026-02-26 18:46:04.171411,RS,Porto Alegre,Patrícia,Tenis Zallur Air A14,A13-VER,Vermelho,3,810,363,Boleto,Fernanda Silva,707.227.634-67,18,impulsivo
